"sig.id"	"Immune.sig"	"UP.padj"	"UP.ES"	"UP.NES"	"DN.padj"	"DN.ES"	"DN.NES"	"tau"	"type"	"common_name"	"source"	"source_id"	"method"	"coef"	"consensus"	"MOA"	"Status"	"Target"	"DSS"
"sig_1205"	"Genes_UP"	0.0227790432801822	-0.386107425556149	-1.52120471345976	0.0382513661202186	0.350217229762948	1.41268388672674	-99.9252895031752	"D1"	"hydroquinidine"	"LINCS"	"BRD-A06390036"	"LIMMA_t"	"trt"	1	"antiarrhythmic"	"Approved"	NA	0.593863573357189
"sig_20598"	"Genes_UP"	0.00978473581213307	0.465206791922377	1.76651303332101	0.0238095238095238	-0.379625203690172	-1.51592816719519	99.9252895031752	"D1"	"fluticasone"	"LINCS"	NA	"LIMMA_t"	"trt"	1	"Unknown"	"Approved"	NA	0.553080799736915
"sig_3076"	"Genes_UP"	0.0239852398523985	0.391273402567283	1.51710536698816	0.217672413793103	-0.275474210143971	-1.13853579690872	99.9252895031752	"D1"	"KM-04501"	"LINCS"	"BRD-A69336132"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	NA
"sig_2796"	"Genes_UP"	0.00245098039215686	0.478867112677755	1.90497927698089	0.547368421052632	-0.241716317508836	-0.94805573993898	99.7855981539802	"D1"	"diltiazem"	"LINCS"	"BRD-K81029756"	"LIMMA_t"	"trt"	0	"calcium channel blocker"	"Approved"	"CACNA1C, CACNA1S, CACNA2D1, CACNG1, HTR3A, KCNA5"	NA
"sig_3318"	"Genes_UP"	0.0481695568400771	0.35559218166626	1.38149725628347	0.0395833333333333	-0.35322562569553	-1.44606889834799	99.5468752412103	"D1"	"AM-404"	"LINCS"	"BRD-K21667562"	"LIMMA_t"	"trt"	0	"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"	"Experimental"	"CNR1, CNR2, FAAH, TRPV1"	0.585488841688856
"sig_1168"	"Genes_UP"	0.0235081374321881	0.397462976446799	1.50010271622204	0.0129589632829374	-0.392501617565465	-1.60004521204228	99.5076414559984	"D1"	"flumetasone"	"LINCS"	"BRD-A01346607"	"LIMMA_t"	"trt"	0	"Unknown"	"Approved"	"NR3C1"	0.551472526354443
"sig_17617"	"Genes_UP"	0.0448028673835125	0.376754774256123	1.45933028526972	0.0627906976744186	-0.324742026369149	-1.35449001029372	98.9769436467965	"D1"	"austricine"	"LINCS"	"BRD-K78838262"	"LIMMA_t"	"trt"	0	"Unknown"	"Experimental"	NA	NA
"sig_2655"	"Genes_UP"	0.141153081510934	0.317325163461794	1.23840197488352	0.0662251655629139	-0.333738616204435	-1.3546261723127	97.908640796848	"D1"	"RO-04-5595"	"LINCS"	"BRD-A63546914"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	NA
"sig_3259"	"Genes_UP"	0.00648298217179903	0.428871279960871	1.6458387917498	0.31358024691358	-0.252093125593133	-1.07925173185379	97.9085678930174	"D1"	"arachidonamide"	"LINCS"	"BRD-K29555132"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	0.639509182872717
"sig_1415"	"Genes_UP"	0.195804195804196	-0.298036332762618	-1.18105400584555	0.0513307984790875	0.347115615101947	1.40471470512679	-97.814881186701	"D1"	"TTNPB"	"LINCS"	"BRD-K49685476"	"LIMMA_t"	"trt"	0	"retinoid receptor agonist"	"Experimental"	"RARA, RARB, RARG"	0.581441217835027
"sig_907"	"Genes_UP"	0.0533596837944664	-0.363283025166292	-1.39896370999406	0.160416666666667	0.301159466768946	1.21927005890945	-97.6882987216976	"D1"	"benzanthrone"	"LINCS"	"BRD-K76872913"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	NA
"sig_20209"	"Genes_UP"	0.030188679245283	-0.36760608926251	-1.44245991250514	0.167048054919908	0.286103736803379	1.20333472389697	-96.6671943962991	"D1"	"ST-4029010"	"LINCS"	"BRD-K99515112"	"LIMMA_t"	"trt"	1	"Unknown"	"Experimental"	NA	NA
